 

stn;time;tre200s0;rre150z0
BER;202209022310;15.3;0.3
BER;202209022320;15.6;0.1
BER;202209022330;15.4;0.0
BER;202209022340;15.4;0.0
BER;202209022350;15.3;0.0
BER;202209030000;15.2;0.0
BER;202209030010;15.3;0.0
BER;202209030020;15.2;0.0
BER;202209030030;15.2;0.0
BER;202209030040;15.1;0.0
BER;202209030050;15.0;0.0
BER;202209030100;15.2;0.0
BER;202209030110;15.1;0.0
BER;202209030120;15.2;0.0
BER;202209030130;15.1;0.3
BER;202209030140;15.1;0.1
BER;202209030150;15.0;0.0
BER;202209030200;14.9;0.0
BER;202209030210;14.9;0.1
BER;202209030220;15.0;0.2
BER;202209030230;14.9;0.5
BER;202209030240;14.9;0.2
BER;202209030250;14.9;0.4
BER;202209030300;14.9;0.4
BER;202209030310;14.8;0.7
BER;202209030320;14.9;0.1
BER;202209030330;15.0;0.3
BER;202209030340;14.9;0.5
BER;202209030350;14.9;0.4
BER;202209030400;14.9;0.2
BER;202209030410;14.9;0.0
BER;202209030420;14.9;0.0
BER;202209030430;14.8;0.1
BER;202209030440;14.6;0.0
BER;202209030450;15.0;0.0
BER;202209030500;14.9;0.0
BER;202209030510;14.6;0.0
BER;202209030520;14.5;0.0
BER;202209030530;14.0;0.0
BER;202209030540;13.8;0.0
BER;202209030550;14.2;0.0
BER;202209030600;14.5;0.0
BER;202209030610;14.9;0.0
BER;202209030620;15.1;0.0
BER;202209030630;15.1;0.0
BER;202209030640;15.6;0.0
BER;202209030650;15.5;0.0
BER;202209030700;15.9;0.0
BER;202209030710;15.9;0.0
BER;202209030720;16.5;0.0
BER;202209030730;16.8;0.0
BER;202209030740;16.8;0.0
BER;202209030750;16.6;0.0
BER;202209030800;16.2;0.1
BER;202209030810;16.3;0.1
BER;202209030820;16.2;0.1
BER;202209030830;16.0;0.6
BER;202209030840;16.1;0.4
BER;202209030850;15.9;0.0
BER;202209030900;15.8;0.1
BER;202209030910;15.7;0.6
BER;202209030920;15.7;0.4
BER;202209030930;15.8;0.5
BER;202209030940;15.8;0.2
BER;202209030950;15.8;0.1
BER;202209031000;15.9;0.1
